subject_id,item_id,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,L,shared,red,zigzag,A,unique,red,thriller,L,shared,red,zigzag,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,L,shared,blue,zigzag,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,A,unique,blue,zombie,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,social,one,blue,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,A,unique,blue,zombie,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
