subject_id,item_id,counterbalance,condition,audience_group,shared.tangram,unique.tangram,response.unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,L,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,C,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,L,A,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,C,A,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,B,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,L,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,L,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,B,H,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,B,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,B,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,C,A,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,L,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,L,A,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,L,H,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,B,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,C,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,C,D,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,L,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,B,D,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,L,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,B,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,L,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,L,A,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,L,D,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,B,H,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,C,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,C,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,C,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,C,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,L,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,C,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,L,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,B,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,C,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,L,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,B,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,B,A,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,C,A,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,B,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,C,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,B,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,C,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,C,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,B,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,L,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,L,D,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,L,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,B,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,B,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,B,A,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,L,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,L,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,C,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,C,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,B,D,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,C,H,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,B,A,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,L,A,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,B,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,C,D,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,B,D,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,L,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,L,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,B,H,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,B,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,C,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,C,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,C,D,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,L,H,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,C,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,L,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,B,H,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,L,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,C,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,L,D,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,C,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,C,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,L,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,L,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,B,D,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,B,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,C,A,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,blue,L,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,B,D,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,L,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,blue,C,D,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,either refer,red,L,A,shared
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,red,B,A,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one social,blue,C,H,unique
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,one refer,red,L,D,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,L,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,C,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,B,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,B,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,B,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,C,D,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,C,H,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,C,D,unique
