subject_id,item_id,counterbalance,trial_num,n_blue,n_naive,goal,previous_selection,selected_tangram,selected_tangram_group,selected_tangram_earlier_red,selected_tangram_earlier_blue,selected_tangram_later_red,selected_tangram_later_blue,written_label,sbert_cosine_earlier_blue,sbert_cosine_earlier_red,sbert_cosine_later_blue,sbert_cosine_later_red,utt_length
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,52,1,0,social,A,F,red_specific,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape",,sad,,Ninja turtle,nan,0.03322604298591614,nan,-0.01895741932094097,2
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,0,2,4,social,,F,shared,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape","sitting down looking upwards, legs in front with arms under its knees",sad,arms under knees,man sitting down facing left,0.545953094959259,0.6944834589958191,0.27812498807907104,0.2119915783405304,5
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,1,1,8,social,F,I,blue_specific,,"the one that looks like a standing person with one leg on the ground and one sticking out to the right, and two triangles pointing left",,yoga guy,man standing on one foot with leg at 90 degrees,0.5760382413864136,nan,0.48394882678985596,nan,10
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,2,1,8,refer,I,F,shared,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape","sitting down looking upwards, legs in front with arms under its knees",sad,arms under knees,man sitting down facing left,0.545953094959259,0.6944834589958191,0.27812498807907104,0.2119915783405304,5
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,3,4,8,social,F,C,red_specific,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",,italian,,man waving both arms,nan,0.29009753465652466,nan,0.09944263100624084,4
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,4,4,1,refer,C,F,shared,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape","sitting down looking upwards, legs in front with arms under its knees",sad,arms under knees,man sitting down facing left,0.545953094959259,0.6944834589958191,0.27812498807907104,0.2119915783405304,5
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,5,1,1,refer,F,C,red_specific,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",,italian,,man waving arms,nan,0.2785678207874298,nan,0.09930968284606934,3
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,6,1,4,social,C,F,shared,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape","sitting down looking upwards, legs in front with arms under its knees",sad,arms under knees,man sitting down facing left,0.545953094959259,0.6944834589958191,0.27812498807907104,0.2119915783405304,5
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,7,1,16,social,F,C,red_specific,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",,italian,,man waving arms,nan,0.2785678207874298,nan,0.09930968284606934,3
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,8,1,16,refer,C,F,shared,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape","sitting down looking upwards, legs in front with arms under its knees",sad,arms under knees,man sitting down facing left,0.545953094959259,0.6944834589958191,0.27812498807907104,0.2119915783405304,5
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,9,4,0,refer,F,C,red_specific,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",,italian,,man waving arms,nan,0.2785678207874298,nan,0.09930968284606934,3
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,10,2,0,refer,C,E,shared,"sitting down, facing right, with the hat thing on its head","It looks like a windmill on top of a hill, the peak is on the left, two triangles and a square on top",crazy hat person,windmill,sitting down facing right,0.10023719072341919,0.6096556186676025,0.011408274061977863,0.07908818870782852,4
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,11,4,16,refer,E,C,red_specific,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",,italian,,man waving arms,nan,0.2785678207874298,nan,0.09930968284606934,3
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,12,3,4,social,C,F,shared,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape","sitting down looking upwards, legs in front with arms under its knees",sad,arms under knees,man sitting down facing left,0.545953094959259,0.6944834589958191,0.27812498807907104,0.2119915783405304,5
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,13,0,4,refer,F,C,red_specific,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",,italian,,man waving arms,nan,0.2785678207874298,nan,0.09930968284606934,3
a067c7fb-d8c9-41eb-bcbd-21b4dd9e72b2,0,b,14,3,2,social,C,F,shared,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape","sitting down looking upwards, legs in front with arms under its knees",sad,arms under knees,man sitting down facing left,0.545953094959259,0.6944834589958191,0.27812498807907104,0.2119915783405304,5
