subject_id,item_id,counterbalance,trial_num,n_blue,n_naive,goal,previous_selection,selected_tangram,selected_tangram_group,written_label
671fbc862b5c7b635c9980de,0,a,22,4,2,refer,G,H,B,innocent guy
671fbc862b5c7b635c9980de,0,a,23,3,1,refer,H,F,B,sad guy
671fbc862b5c7b635c9980de,0,a,24,1,2,social,F,E,B,crazy hat person
671fbc862b5c7b635c9980de,0,a,25,2,0,refer,E,H,B,the innocent one
671fbc862b5c7b635c9980de,0,a,26,1,1,refer,H,D,A,priest
671fbc862b5c7b635c9980de,0,a,27,0,1,refer,D,C,A,italian
671fbc862b5c7b635c9980de,0,a,28,4,8,social,C,B,A,mouse head
671fbc862b5c7b635c9980de,0,a,29,3,8,refer,B,A,A,thriller
671fbc862b5c7b635c9980de,0,a,30,0,16,refer,A,G,B,horse
671fbc862b5c7b635c9980de,0,a,31,0,4,refer,G,H,B,the innocent one
671fbc862b5c7b635c9980de,0,a,32,3,2,social,H,L,C,squatting guy
671fbc862b5c7b635c9980de,0,a,33,2,16,social,L,I,C,yoga guy
671fbc862b5c7b635c9980de,0,a,34,2,1,social,I,K,C,kneeling guy
671fbc862b5c7b635c9980de,0,a,35,2,16,refer,K,J,C,standing guy
671fbc862b5c7b635c9980de,0,a,36,4,4,social,J,C,A,Falling guy
671fbc862b5c7b635c9980de,0,a,37,4,4,refer,C,E,B,bunny ears guy
671fbc862b5c7b635c9980de,0,a,38,3,4,social,E,I,C,ballerina
671fbc862b5c7b635c9980de,0,a,39,1,2,refer,I,F,B,tired guy
671fbc862b5c7b635c9980de,0,a,40,0,2,refer,F,A,A,matching guy
671fbc862b5c7b635c9980de,0,a,41,1,16,refer,A,G,B,kneeling with one leg guy
671fbc862b5c7b635c9980de,0,a,42,2,4,social,G,H,B,Monk guy
671fbc862b5c7b635c9980de,0,a,43,1,4,refer,H,K,C,proposing guy
671fbc862b5c7b635c9980de,0,a,44,3,2,refer,K,C,A,ghost guy
671fbc862b5c7b635c9980de,0,a,45,3,4,refer,C,I,C,bird pose guy
671fbc862b5c7b635c9980de,0,a,46,4,0,social,I,F,B,sad guy
671fbc862b5c7b635c9980de,0,a,47,3,0,refer,F,D,A,scholar guy
671fbc862b5c7b635c9980de,0,a,48,3,0,social,D,B,A,worshipping guy
671fbc862b5c7b635c9980de,0,a,49,3,8,social,B,J,C,cape guy
671fbc862b5c7b635c9980de,0,a,50,2,2,refer,J,H,B,innocent guy
671fbc862b5c7b635c9980de,0,a,51,1,4,social,H,F,B,sad guy
671fbc862b5c7b635c9980de,0,a,52,1,16,social,F,I,C,outstretching one
657f5cb338e31904b66cd970,0,a,0,1,0,refer,,D,A,priest
657f5cb338e31904b66cd970,0,a,1,2,16,social,D,C,A,italian
657f5cb338e31904b66cd970,0,a,2,2,8,refer,C,F,B,lonely sad boy
657f5cb338e31904b66cd970,0,a,3,4,2,refer,F,H,B,no arms/ blob
657f5cb338e31904b66cd970,0,a,4,2,0,refer,H,A,A,man with a backpack
657f5cb338e31904b66cd970,0,a,5,0,8,refer,A,E,B,man with a weird hat/ windmill
657f5cb338e31904b66cd970,0,a,6,2,0,social,E,L,C,doing squats
657f5cb338e31904b66cd970,0,a,7,2,4,refer,L,I,C,standing on one leg arms to the left
657f5cb338e31904b66cd970,0,a,8,1,16,social,I,J,C,straight/ flat back man
657f5cb338e31904b66cd970,0,a,9,4,8,refer,J,F,B,"sitting on the floor, knees up"
657f5cb338e31904b66cd970,0,a,10,3,1,social,F,H,B,no arms shown
657f5cb338e31904b66cd970,0,a,11,4,16,refer,H,G,B,doing the slide/ head back to left
657f5cb338e31904b66cd970,0,a,12,3,4,social,G,A,A,hunch back
657f5cb338e31904b66cd970,0,a,13,2,2,social,A,E,B,box with two triangles sliding down mountain
657f5cb338e31904b66cd970,0,a,14,3,1,refer,E,F,B,bored and alone on the floor
657f5cb338e31904b66cd970,0,a,15,4,0,refer,F,K,C,looks like 2 triangles on top of each other arms to right
657f5cb338e31904b66cd970,0,a,16,2,8,social,K,I,C,figure skating with leg up
657f5cb338e31904b66cd970,0,a,17,3,0,refer,I,J,C,could be a matodor
657f5cb338e31904b66cd970,0,a,18,0,2,refer,J,L,C,leg bent into squat position
657f5cb338e31904b66cd970,0,a,19,4,16,social,L,B,A,kneeling with one arm each way
657f5cb338e31904b66cd970,0,a,20,3,16,refer,B,C,A,"arms in the air and head to left, body leaning"
657f5cb338e31904b66cd970,0,a,21,1,2,refer,C,H,B,sitting monk no arms seen
657f5cb338e31904b66cd970,0,a,22,3,4,refer,H,D,A,reading a book while standing
657f5cb338e31904b66cd970,0,a,23,2,4,social,D,E,B,"no arms, two triangles and a square"
657f5cb338e31904b66cd970,0,a,24,2,2,refer,E,I,C,"2 arms to the left, one foot up behind"
657f5cb338e31904b66cd970,0,a,25,1,1,social,I,G,B,"arm and leg to the right , head back to left, slide"
657f5cb338e31904b66cd970,0,a,26,4,2,social,G,H,B,"head, no legs , no arms"
657f5cb338e31904b66cd970,0,a,27,4,4,social,H,F,B,"sitting on butt, knees bent"
657f5cb338e31904b66cd970,0,a,28,1,8,social,F,C,A,"both arms in the air, body leaning to the left"
657f5cb338e31904b66cd970,0,a,29,4,4,refer,C,A,A,"walking to the left, bag over shoulder, no arms"
657f5cb338e31904b66cd970,0,a,30,0,4,refer,A,B,A,kneeling with arms straight out to each side
657f5cb338e31904b66cd970,0,a,31,3,0,social,B,F,B,lonely sitting person
657f5cb338e31904b66cd970,0,a,32,2,16,refer,F,C,A,"leaning body, no legs arms up"
657f5cb338e31904b66cd970,0,a,33,2,1,social,C,H,B,blob
657f5cb338e31904b66cd970,0,a,34,0,16,refer,H,J,C,"straight line on left side, arm and leg on right"
657f5cb338e31904b66cd970,0,a,35,4,8,social,J,G,B,electric slide
657f5cb338e31904b66cd970,0,a,36,1,2,social,G,I,C,"leaning forward to the left, one leg up behind him"
657f5cb338e31904b66cd970,0,a,37,1,16,refer,I,E,B,sitting indian with hat
657f5cb338e31904b66cd970,0,a,38,4,0,social,E,D,A,scholar
657f5cb338e31904b66cd970,0,a,39,1,0,social,D,H,B,criss cross applesauce
657f5cb338e31904b66cd970,0,a,40,0,1,refer,H,B,A,taking a bow
657f5cb338e31904b66cd970,0,a,41,4,1,social,B,E,B,box sliding down hill with 2 triangles
657f5cb338e31904b66cd970,0,a,42,1,4,social,E,L,C,"standing with bended knee, both arms to right"
657f5cb338e31904b66cd970,0,a,43,3,8,social,L,A,A,one foot in the air with bag on back
657f5cb338e31904b66cd970,0,a,44,1,1,refer,A,J,C,two thirds of a square with a head on top
657f5cb338e31904b66cd970,0,a,45,3,2,social,J,G,B,dancing with one arm and leg to right showing
657f5cb338e31904b66cd970,0,a,46,3,8,refer,G,C,A,falling over because i have no legs
657f5cb338e31904b66cd970,0,a,47,4,1,refer,C,F,B,"bored, lonely and sad with nowhere to go"
657f5cb338e31904b66cd970,0,a,48,2,1,refer,F,H,B,"sitting, no arms or legs shown"
657f5cb338e31904b66cd970,0,a,49,3,16,social,H,K,C,sneaking with 2 heads and arm to right
657f5cb338e31904b66cd970,0,a,50,3,2,refer,K,I,C,bending over to left with leg up behind them
657f5cb338e31904b66cd970,0,a,51,1,4,refer,I,L,C,"scooching down, arms to right"
657f5cb338e31904b66cd970,0,a,52,1,8,refer,L,A,A,sad dinosaur no arms and a bag
67b8f459f36ac348b98d6cad,0,a,0,4,16,refer,,A,A,"Like a dance, one foot on ground the other foot slightly raised."
67b8f459f36ac348b98d6cad,0,a,1,3,16,social,A,B,A,Mouse head with funny ears.
67b8f459f36ac348b98d6cad,0,a,2,3,0,refer,B,C,A,"Arms lifted, outstretched or apart."
67b8f459f36ac348b98d6cad,0,a,3,4,4,social,C,D,A,Like a priest giving/opening a book - a diamond as head.
67b8f459f36ac348b98d6cad,0,a,4,2,4,social,D,E,B,A hat looking like a windmill on a hill.
67b8f459f36ac348b98d6cad,0,a,5,2,16,social,E,F,B,"Sad one, sitting with one knee slightly bent"
67b8f459f36ac348b98d6cad,0,a,6,2,1,refer,F,G,B,"Like a lying posture although with upper body half raised, with head tilting backwards and arms apart facing downward and upward"
67b8f459f36ac348b98d6cad,0,a,7,4,8,social,G,H,B,lonely one with no arms or legs
67b8f459f36ac348b98d6cad,0,a,8,1,8,social,H,I,C,"Like a Karate practice, two triangles facing front"
67b8f459f36ac348b98d6cad,0,a,9,4,16,social,I,E,B,Funny hat guy
67b8f459f36ac348b98d6cad,0,a,10,2,16,refer,E,C,A,Italian with arms apart and lifted to the air.
67b8f459f36ac348b98d6cad,0,a,11,1,0,social,C,D,A,The Priest guy
67b8f459f36ac348b98d6cad,0,a,12,3,2,refer,D,K,C,The duck. Kneeling and arms forward
67b8f459f36ac348b98d6cad,0,a,13,3,0,social,K,B,A,The mouse head with two triangles for ears
67b8f459f36ac348b98d6cad,0,a,14,0,2,refer,B,A,A,"A dancing posture, with left leg on the ground and right leg slightly lifted"
67b8f459f36ac348b98d6cad,0,a,15,0,16,refer,A,L,C,looks like knees half bent with arms forward
