subject_id,item_id,counterbalance,n_ingroup,n_outgroup,goal,tangram,response.earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,4,2,social,H,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,4,2,refer,H,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,4,8,refer,L,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,1,0,refer,A,later
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,1,2,social,H,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,3,1,refer,D,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,1,0,social,A,later
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,1,16,social,C,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,4,4,social,L,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,4,4,refer,L,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,0,16,refer,A,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,3,4,refer,B,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,2,0,social,C,later
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,0,1,refer,B,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,1,8,refer,D,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,2,2,refer,B,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,0,8,refer,B,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,0,2,refer,H,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,2,4,refer,D,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,4,16,refer,H,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,3,16,social,D,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,1,4,social,H,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,3,8,social,C,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,1,16,refer,C,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,3,1,social,D,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,2,1,social,A,earlier
5e2b58c2-ec3d-44be-8305-6d4fc5b74e1f,0,a,3,0,refer,L,later
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,16,social,D,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,0,refer,H,later
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,1,social,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,0,refer,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,1,social,B,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,4,social,B,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,0,social,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,4,refer,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,8,social,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,8,refer,C,earlier
