subject_id,item_id,counterbalance,condition,audience_group,tangram,shared,response.earlier
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,red,B,unique,earlier
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,red,A,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,red,L,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,blue,C,unique,earlier
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,blue,D,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,red,D,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,blue,A,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,blue,B,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,blue,D,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,red,C,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,red,B,unique,earlier
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,blue,H,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,red,C,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,blue,L,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,red,H,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,red,H,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,blue,L,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,blue,A,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,red,B,unique,earlier
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,red,D,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,blue,B,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,blue,D,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,blue,A,shared,later
