subject_id,item_id,counterbalance,condition,goal,audience,audience_group,tangram,shared,response.earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,blue,B,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,red,D,unique,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,blue,B,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,blue,C,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,blue,D,unique,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,blue,D,unique,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,red,C,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,red,H,unique,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,red,L,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,red,D,unique,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,blue,A,unique,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,blue,L,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,red,A,unique,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,blue,A,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,red,C,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,red,L,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,blue,L,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,blue,L,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,blue,C,unique,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,blue,C,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,blue,B,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,red,A,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,blue,D,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,red,H,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,red,L,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,red,L,unique,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,red,D,shared,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,blue,D,shared,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,red,H,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,blue,D,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,red,B,unique,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,red,D,shared,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,red,D,shared,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,blue,L,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,red,B,unique,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,red,H,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,red,C,unique,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,blue,B,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,red,A,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,blue,B,unique,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,blue,H,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,blue,H,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,blue,A,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,red,C,unique,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,blue,H,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,blue,A,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,either refer,refer,either,blue,C,unique,earlier
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one refer,refer,one,red,A,shared,later
2e626814-ec5c-43c9-8bc6-5babc81b0bd8,0,b,one social,social,one,red,B,unique,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,blue,A,shared,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,blue,C,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,red,D,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,red,A,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,red,H,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,blue,D,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,red,C,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,blue,B,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,blue,A,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,red,H,shared,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,red,B,unique,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,blue,D,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,red,B,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,red,C,unique,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,red,L,unique,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,blue,L,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,red,L,unique,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,red,B,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,red,L,unique,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,red,A,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,blue,B,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,blue,A,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,red,D,shared,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,red,H,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,red,C,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,blue,B,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,blue,H,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,blue,D,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,blue,L,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,red,D,shared,earlier
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,blue,L,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,red,A,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,blue,C,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,either refer,refer,either,blue,C,unique,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one social,social,one,blue,H,shared,later
09f7c59c-30ac-45cd-a898-f73bdfe084bd,0,b,one refer,refer,one,blue,H,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,red,A,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,blue,H,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,blue,L,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,red,A,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,red,L,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,red,L,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,red,D,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,red,H,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,blue,C,unique,earlier
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,blue,H,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,red,C,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,red,B,unique,earlier
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,red,A,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,red,L,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,blue,C,unique,earlier
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,blue,D,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,red,D,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,blue,A,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,blue,B,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,blue,D,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,red,C,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,red,B,unique,earlier
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,blue,H,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,red,C,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,blue,L,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,red,H,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,red,H,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,blue,L,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,blue,A,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,either refer,refer,either,red,B,unique,earlier
